"fuente","divipola","Municipio","Departamento","valor","nombre_del_proyecto","categoria","subcategoria","fecha_corte"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","EMERGENTE CONVERGENTE","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Sembrando Confianza","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","El monstruo de las calles","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","SILENCIO EN/CADENA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","DEL ENCIERRO A LA LUZ","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","POLIETILENO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","“AMORES DE LIBERTAD” VIDEO-CONCIERTO EN CANTO LÍRICO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","EL FIN DE LA SIRENA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","27,166,729.34","AMOR PERFECTO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","TALLER DE TEATRO Y PERFORMANCE CON POBLACIÓN ADULTA LGBDTI.C+ .DE BOGOTÁ","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","LA REINA DE TODOS LOS RITMOS","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","RELACIONES Y ENCUENTROS EN DIÁLOGOS DANZADOS (RED). ESPACIO PARA LA CONSTRUCCIÓN DEL CONOCIMIENTO COLABORATIVO.","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","MEMORIAS PARA LA ACCIÓN","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","LOS COLORES DEL SONIDO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","CAJA VIRTUAL PARA FAMILIAS IMPROCREATIVAS","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","#QUIENPRACTICANDOSUSCORTES","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","MASCARA NEUTRA TALLERES Y EJERCICIOS","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","CUERPO Y MOVIMIENTO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","Soy Arte y Mi Cuerpo Lo Sabe","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","""HABLANDO Y DANZANDO EL BALLET""","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","9,000,000","ESCUELA EN CASA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","34,800,000","BARRACA RESPIRA ARTE","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","KÓSMO CORPÓREA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","Teatro por WhatsApp Online","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","GIGANTES","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","Chuvhuri 2020","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","Insomnium","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","Colombia es una colcha de retazos","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","FESTIVAL SUBA AL RUEDO. El hip hop como herramienta resiliente ´chapter thirteen¨","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","EL YEITOTOL: UNA PROPUESTA DE CREACIÓN ESCÉNICA FAMILIAR VIRTUAL EXPERIENCIAL","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","ENTRE-VISTAS Y FICCIONES","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","PUERTA ROSA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","VITRINAS DE LO INTIMO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","DE LA OMISIÓN AL FIN","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","Ganamos la Batalla
“Creación colectiva de Hip – Hop Femenino a través de plataformas digitales”","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","DRAMAFÓNICOS ILUSTRADOS","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","PLATAFORMA VIRTUAL MARCHANDO LA DIFERENCIA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","Programación H","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","EMPODERADAS","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","EN LA GRIETA”","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","DUNKAN DANCE FEST ON LINE VERSIÓN ESTILOS","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","MOMENTOS “Un viaje al pasado, presente y futuro”","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","CICLO CYPHERS REGGAE BOGOTÁ","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","50,000,000","CARTAS AL BALCÓN-CORRESPONDENCIA TEATRAL","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","LAS VIRGINIANAS","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Cuando el Rasgueo se Hace Tacón","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Adentro","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Las Divxs online: Por que las Divxs tambien se reinventan","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Meta...formósis","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Dramaturgias en Voz: Radio Efímera del Confinamiento","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Comunidad Danzando por la Paz","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Historias de un fulanito y una zutanita","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Musica Electronica en vivo para donde vamos?","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","ESPERPENTO","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","¿Que Tienes en la Cabeza?","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","LOS SATISFECHOS","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","El Desbarrancadero","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Bitácora de una nueva Corona","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","AWAQ TEJEDORA DE SUEÑOS","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","imagina sueña haz realidad tu sueño","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","“LA COQUITO” 8 COPLAS BAILA.","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","ELLA BAILA SOLA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Taller virtual de actuación y dramaturgia para actores y actrices, monólogo","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","Show de magia familiar online","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","DanceHome: un ensayo multibiográfico (título provisional)","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
"Ley de Espectáculos Públicos","11,001","Bogotá, D.C.","Bogotá, D. C.","12,000,000","MANOS A LA CULTURA","Decreto 475","Decreto 475","2025 Aug 28 12:00:00 AM"
